M,N,K,cuBLAS,Triton
256.0,256.0,256.0,0.4,0.1
384.0,384.0,384.0,1.1,0.4
512.0,512.0,512.0,2.2,0.7
640.0,640.0,640.0,4.0,1.3
768.0,768.0,768.0,5.9,1.7
896.0,896.0,896.0,7.5,2.2
1024.0,1024.0,1024.0,8.6,2.5
1152.0,1152.0,1152.0,11.0,2.9
1280.0,1280.0,1280.0,11.8,3.2
1408.0,1408.0,1408.0,11.9,3.2
1536.0,1536.0,1536.0,12.4,3.5
1664.0,1664.0,1664.0,15.2,3.5
1792.0,1792.0,1792.0,15.2,3.7
1920.0,1920.0,1920.0,16.6,3.9
2048.0,2048.0,2048.0,15.5,3.7
2176.0,2176.0,2176.0,17.7,3.9
2304.0,2304.0,2304.0,17.2,4.0
2432.0,2432.0,2432.0,16.7,4.0
2560.0,2560.0,2560.0,18.2,4.1
2688.0,2688.0,2688.0,17.9,4.1
2816.0,2816.0,2816.0,17.8,4.1
2944.0,2944.0,2944.0,19.4,4.1
3072.0,3072.0,3072.0,19.1,4.2
3200.0,3200.0,3200.0,19.0,4.2
3328.0,3328.0,3328.0,18.8,4.2
3456.0,3456.0,3456.0,18.8,4.2
3584.0,3584.0,3584.0,18.6,4.2
3712.0,3712.0,3712.0,18.8,4.2
3840.0,3840.0,3840.0,18.8,4.2
3968.0,3968.0,3968.0,19.1,4.2
4096.0,4096.0,4096.0,19.0,4.1
